t,agent_x,agent_y,goal_x,goal_y,subgoal_x,subgoal_y,waypoint_x,waypoint_y,new_high_command
307,30.892324973930762,12.622040644833278,0.0,32.0,-3.999998092651367,14.255319595336914,29.0,13.0,0
308,30.80242530275858,12.780216726261912,0.0,32.0,-3.999998092651367,14.255319595336914,29.0,13.0,0
309,30.712193242246997,12.90383825099956,0.0,32.0,-3.999998092651367,14.255319595336914,29.0,13.0,0
310,30.639541770290545,12.958519666163618,0.0,32.0,-3.999998092651367,14.255319595336914,29.0,13.0,0
311,30.593050936986554,13.000772991730383,0.0,32.0,-3.999998092651367,14.255319595336914,29.0,13.0,0
312,30.52451794687446,13.078665111497038,0.0,32.0,-3.999998092651367,14.255319595336914,29.0,13.0,0
313,30.409446640578267,13.177058729293767,0.0,32.0,-3.999998092651367,14.255319595336914,29.0,13.0,0
314,30.164713917563468,13.227572135410089,0.0,32.0,-3.999998092651367,14.255319595336914,29.0,13.0,0
315,29.870825709041466,13.267737328805131,0.0,32.0,-3.999998092651367,14.255319595336914,29.0,13.0,0
316,29.61005713919962,13.305929073100986,0.0,32.0,-3.999998092651367,14.255319595336914,29.0,13.0,0
317,29.448279858069835,13.325719606212974,0.0,32.0,-3.999998092651367,14.255319595336914,29.0,13.0,0
318,29.369041520981526,13.301164981030393,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
319,29.288890131697915,13.287462165248781,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
320,29.19316143548836,13.283597734236274,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
321,29.035547335807877,13.235929649146989,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
322,28.840252073693318,13.165518179676743,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
323,28.661684147813205,13.101925622815338,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
324,28.55051394338328,13.118105457658983,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
325,28.492323980018632,13.209426285896786,0.0,32.0,-3.999998092651367,14.255319595336914,27.0,13.0,0
